,bedrooms,bathrooms,level,garage,age,elevation,neighborhood[ALAMEDA]:sqft,neighborhood[ALBANY]:sqft,neighborhood[BAY AND OCEAN]:sqft,neighborhood[BERKELEY]:sqft,neighborhood[CASTRO VALLEY]:sqft,neighborhood[DUBLIN]:sqft,neighborhood[EMERYVILLE]:sqft,neighborhood[FREMONT]:sqft,neighborhood[HAYWARD]:sqft,neighborhood[LIVERMORE]:sqft,neighborhood[MILPITAS]:sqft,neighborhood[NEWARK]:sqft,neighborhood[OAKLAND]:sqft,neighborhood[PACIFICA]:sqft,neighborhood[PLEASANTON]:sqft,neighborhood[SAN LEANDRO]:sqft,neighborhood[SAN LORENZO]:sqft,neighborhood[SOUTH SAN FRANCISCO]:sqft,neighborhood[SUNOL]:sqft,neighborhood[UNION CITY]:sqft,neighborhood[WALNUT CREEK]:sqft
bedrooms,972.780357082,-653.618009018,13.6632726677,27.5801522639,-6.71305360273,-0.083390758457,-0.578097605008,-0.867441208475,-0.568260606098,-0.319837349247,-0.661610917196,-0.822988520687,-0.40928403434,-0.842880338568,-0.774840379066,-0.859307034574,-0.359073685374,-1.03598783648,-0.604642368593,-0.379046712161,-0.736225970446,-0.690366143324,-1.18595807294,-0.725394183883,-0.564752935003,-1.04511614373,-0.0903307852757
bathrooms,-653.618009018,1840.95385446,-30.7900881949,-290.413318386,-0.789286729978,-2.60244285582,-0.650835213906,-0.523131048072,-0.667427466261,-0.387770041106,-0.658134405201,-1.00262449441,-1.1014475623,-0.82349738743,-0.94127862877,-0.856815378175,-1.85951170263,-1.17775276777,-0.79034838907,-1.9980034132,-0.965924422806,-0.488679568693,-0.453697021379,-0.405807228996,-0.950547573543,-0.869075384159,-0.85704400529
level,13.6632726677,-30.7900881949,45.3480845114,-25.1807032126,-0.297417462669,0.0211367073963,-0.00591979463806,-0.427014470387,-0.00527292371387,-0.000792163219489,-0.00228857202751,-0.0054877047196,-0.0792680947979,-0.0045322455421,-0.00770848113278,-0.00199179121084,0.0102771911055,-0.00194103338713,-0.0136674295524,0.0273861391355,0.000107912855696,-0.00514531779326,-0.0182167627826,-1.46569283379,0.00692380216418,-0.00769240673075,-0.0564621108656
garage,27.5801522639,-290.413318386,-25.1807032126,2181.37084968,-0.582554112959,0.555011264431,-0.102638188149,0.172818116124,-0.12779925583,-0.127992830437,-0.1604912002,-0.127081029661,-0.154084268066,-0.0925228256231,-0.0483817578463,-0.241416350624,0.447313255095,0.0360969963017,-0.0922754842995,-1.62290595722,-0.148799835084,-0.333094682464,0.296507064939,-0.88682889925,0.384969309464,-0.114987050497,-2.39784564787
age,-6.71305360273,-0.789286729978,-0.297417462669,-0.582554112959,0.513888826281,-0.0132912885402,-0.00891488157081,-0.0149623076784,-0.0087871544977,-0.00764395213142,0.00269552133549,0.00772104323591,-0.00980144840292,0.00253363775925,-0.000963428702922,0.00498814540169,-7.07264958549e-05,0.00167468008682,-0.00818462030589,-0.00711685917367,0.00637997760592,-0.00582700273719,-0.00726503422089,0.00184021027639,-0.0284664000808,0.00381382436782,-0.0176671601289
elevation,-0.083390758457,-2.60244285582,0.0211367073963,0.555011264431,-0.0132912885402,0.187999689042,0.00231407631579,0.000555172416372,0.00232952136814,-0.00476732761769,-0.0104176755114,-0.00978514966455,0.00197106609058,0.000712488494757,-0.00208969497052,-0.0153286604425,0.00320486093639,0.00347358863519,-0.00450726699857,0.00296305951217,-0.00771788563593,0.000461051379381,0.00225375313468,-0.0145171007886,-0.00849143633918,0.00221576608041,-0.00843336678489
neighborhood[ALAMEDA]:sqft,-0.578097605008,-0.650835213906,-0.00591979463806,-0.102638188149,-0.00891488157081,0.00231407631579,0.00664666106043,0.00260731008718,0.00182379671907,0.00117180077138,0.00155600078362,0.00191705719843,0.00209048676423,0.00193635267783,0.00208622314028,0.00197643625952,0.00218332302754,0.00255406130436,0.00199295409322,0.00295812717183,0.00179911639145,0.00176329230188,0.00241394702842,0.00256434602779,0.00278933992818,0.00222908887713,0.00209822204373
neighborhood[ALBANY]:sqft,-0.867441208475,-0.523131048072,-0.427014470387,0.172818116124,-0.0149623076784,0.000555172416372,0.00260731008718,0.0755018602115,0.00259799373204,0.00175025494562,0.00224713121274,0.00270169135336,0.00365155634256,0.00264174411497,0.00295122723567,0.00285479654375,0.00283018296329,0.00343497165601,0.00299150995508,0.00372749836381,0.00247453110181,0.00250340715426,0.00353913626183,0.0172245248687,0.00418570270069,0.00303765145252,0.00358978976114
neighborhood[BAY AND OCEAN]:sqft,-0.568260606098,-0.667427466261,-0.00527292371387,-0.12779925583,-0.0087871544977,0.00232952136814,0.00182379671907,0.00259799373204,0.00650991774164,0.00117182834966,0.00155936207799,0.00192331598619,0.00209553627994,0.00193922695087,0.00208880613296,0.00198165201823,0.00219066256318,0.00255670486094,0.00199368122255,0.00299042888267,0.0018056041528,0.00176485830028,0.00240335409504,0.00257168987892,0.00277916765722,0.00223164295444,0.00212908540993
neighborhood[BERKELEY]:sqft,-0.319837349247,-0.387770041106,-0.000792163219489,-0.127992830437,-0.00764395213142,-0.00476732761769,0.00117180077138,0.00175025494562,0.00117182834966,0.00412436051298,0.00138055440625,0.00158173959145,0.00137652419547,0.0012530123108,0.00146477563708,0.00181958341218,0.00136311047626,0.00157324386208,0.00151526831894,0.00196388552704,0.00144012499526,0.00118165033949,0.00153256371504,0.00216565423287,0.00225482794167,0.00138820890316,0.00182024236594
neighborhood[CASTRO VALLEY]:sqft,-0.661610917196,-0.658134405201,-0.00228857202751,-0.1604912002,0.00269552133549,-0.0104176755114,0.00155600078362,0.00224713121274,0.00155936207799,0.00138055440625,0.00652899278149,0.00284704604142,0.00185553206419,0.00203307907127,0.00230932787434,0.0032136972437,0.00214428472686,0.00248211503502,0.00221325030137,0.00283666363157,0.00255822520386,0.00167385131714,0.00216701779243,0.00338471228375,0.0028730692159,0.00225792192362,0.00241219307902
neighborhood[DUBLIN]:sqft,-0.822988520687,-1.00262449441,-0.0054877047196,-0.127081029661,0.00772104323591,-0.00978514966455,0.00191705719843,0.00270169135336,0.00192331598619,0.00158173959145,0.00284704604142,0.00981851256006,0.00230937849877,0.00259314969287,0.00286817317281,0.00381569564059,0.00283549921865,0.00320984078898,0.00263640639161,0.00358905881865,0.003151144229,0.00204328374712,0.00267449604276,0.00403583390246,0.00322620694204,0.00290726907679,0.00269785535772
neighborhood[EMERYVILLE]:sqft,-0.40928403434,-1.1014475623,-0.0792680947979,-0.154084268066,-0.00980144840292,0.00197106609058,0.00209048676423,0.00365155634256,0.00209553627994,0.00137652419547,0.00185553206419,0.00230937849877,0.00930208731103,0.00222653108751,0.00244386928447,0.00237187860769,0.00270134339496,0.00293300266366,0.00235581488317,0.00369605256861,0.00216113022172,0.00200022077122,0.00262329012193,0.00564440876023,0.003226316427,0.00253457277938,0.00280467002976
neighborhood[FREMONT]:sqft,-0.842880338568,-0.82349738743,-0.0045322455421,-0.0925228256231,0.00253363775925,0.000712488494757,0.00193635267783,0.00264174411497,0.00193922695087,0.0012530123108,0.00203307907127,0.00259314969287,0.00222653108751,0.00359286544497,0.00250060727514,0.00264195124324,0.00262339777042,0.00308144270871,0.00222258605451,0.00332981546602,0.00239868059976,0.00195190081772,0.00268513802336,0.00290032227065,0.00271191966203,0.00274911476803,0.00208261601048
neighborhood[HAYWARD]:sqft,-0.774840379066,-0.94127862877,-0.00770848113278,-0.0483817578463,-0.000963428702922,-0.00208969497052,0.00208622314028,0.00295122723567,0.00208880613296,0.00146477563708,0.00230932787434,0.00286817317281,0.00244386928447,0.00250060727514,0.00608840049641,0.00301899287171,0.00281136349174,0.00321465965145,0.00250280313284,0.00358401799601,0.0026383909064,0.00209462373876,0.00284349817218,0.00347876035179,0.00324571493499,0.00285054096689,0.00247815726826
neighborhood[LIVERMORE]:sqft,-0.859307034574,-0.856815378175,-0.00199179121084,-0.241416350624,0.00498814540169,-0.0153286604425,0.00197643625952,0.00285479654375,0.00198165201823,0.00181958341218,0.0032136972437,0.00381569564059,0.00237187860769,0.00264195124324,0.00301899287171,0.00759315586427,0.00276552267169,0.00319679961758,0.00289769856835,0.00367679284481,0.0034182227051,0.00215569247373,0.00276075979904,0.00450906241047,0.00373260850995,0.00292180125845,0.00320283789918
neighborhood[MILPITAS]:sqft,-0.359073685374,-1.85951170263,0.0102771911055,0.447313255095,-7.07264958549e-05,0.00320486093639,0.00218332302754,0.00283018296329,0.00219066256318,0.00136311047626,0.00214428472686,0.00283549921865,0.00270134339496,0.00262339777042,0.00281136349174,0.00276552267169,0.129555060496,0.00350451958194,0.0024898079333,0.00396875645606,0.00264999768577,0.00204190389354,0.00281293511538,0.00267899279035,0.00319393405829,0.00298233108272,0.00205028738569
neighborhood[NEWARK]:sqft,-1.03598783648,-1.17775276777,-0.00194103338713,0.0360969963017,0.00167468008682,0.00347358863519,0.00255406130436,0.00343497165601,0.00255670486094,0.00157324386208,0.00248211503502,0.00320984078898,0.00293300266366,0.00308144270871,0.00321465965145,0.00319679961758,0.00350451958194,0.0155303990305,0.00283788568426,0.00430279241372,0.00298799005712,0.00252156579331,0.00352550792836,0.00338570923393,0.00350654899375,0.00356822559914,0.00248896703377
neighborhood[OAKLAND]:sqft,-0.604642368593,-0.79034838907,-0.0136674295524,-0.0922754842995,-0.00818462030589,-0.00450726699857,0.00199295409322,0.00299150995508,0.00199368122255,0.00151526831894,0.00221325030137,0.00263640639161,0.00235581488317,0.00222258605451,0.00250280313284,0.00289769856835,0.0024898079333,0.00283788568426,0.00358994731161,0.00334642713657,0.00241637973516,0.00198786277701,0.00264822050397,0.00373440777263,0.00347820383688,0.00249982239888,0.0027089781405
neighborhood[PACIFICA]:sqft,-0.379046712161,-1.9980034132,0.0273861391355,-1.62290595722,-0.00711685917367,0.00296305951217,0.00295812717183,0.00372749836381,0.00299042888267,0.00196388552704,0.00283666363157,0.00358905881865,0.00369605256861,0.00332981546602,0.00358401799601,0.00367679284481,0.00396875645606,0.00430279241372,0.00334642713657,0.448772596471,0.00339025826333,0.00297334838332,0.00332181265325,0.00475468491624,0.00405882668518,0.00377698818137,0.00529107892431
neighborhood[PLEASANTON]:sqft,-0.736225970446,-0.965924422806,0.000107912855696,-0.148799835084,0.00637997760592,-0.00771788563593,0.00179911639145,0.00247453110181,0.0018056041528,0.00144012499526,0.00255822520386,0.003151144229,0.00216113022172,0.00239868059976,0.0026383909064,0.0034182227051,0.00264999768577,0.00298799005712,0.00241637973516,0.00339025826333,0.00457689389718,0.00190070852161,0.00248071380685,0.00351519255712,0.0029527906277,0.00269627150372,0.00249832262339
neighborhood[SAN LEANDRO]:sqft,-0.690366143324,-0.488679568693,-0.00514531779326,-0.333094682464,-0.00582700273719,0.000461051379381,0.00176329230188,0.00250340715426,0.00176485830028,0.00118165033949,0.00167385131714,0.00204328374712,0.00200022077122,0.00195190081772,0.00209462373876,0.00215569247373,0.00204190389354,0.00252156579331,0.00198786277701,0.00297334838332,0.00190070852161,0.00753126851506,0.00236164432335,0.0027252366057,0.0026598818336,0.00224756862275,0.00226669224362
neighborhood[SAN LORENZO]:sqft,-1.18595807294,-0.453697021379,-0.0182167627826,0.296507064939,-0.00726503422089,0.00225375313468,0.00241394702842,0.00353913626183,0.00240335409504,0.00153256371504,0.00216701779243,0.00267449604276,0.00262329012193,0.00268513802336,0.00284349817218,0.00276075979904,0.00281293511538,0.00352550792836,0.00264822050397,0.00332181265325,0.00248071380685,0.00236164432335,0.0478262557968,0.00321707288712,0.00367844949282,0.00312446220436,0.00205582544172
neighborhood[SOUTH SAN FRANCISCO]:sqft,-0.725394183883,-0.405807228996,-1.46569283379,-0.88682889925,0.00184021027639,-0.0145171007886,0.00256434602779,0.0172245248687,0.00257168987892,0.00216565423287,0.00338471228375,0.00403583390246,0.00564440876023,0.00290032227065,0.00347876035179,0.00450906241047,0.00267899279035,0.00338570923393,0.00373440777263,0.00475468491624,0.00351519255712,0.0027252366057,0.00321707288712,0.19763582978,0.00406497237168,0.00324707778069,0.00750204560225
neighborhood[SUNOL]:sqft,-0.564752935003,-0.950547573543,0.00692380216418,0.384969309464,-0.0284664000808,-0.00849143633918,0.00278933992818,0.00418570270069,0.00277916765722,0.00225482794167,0.0028730692159,0.00322620694204,0.003226316427,0.00271191966203,0.00324571493499,0.00373260850995,0.00319393405829,0.00350654899375,0.00347820383688,0.00405882668518,0.0029527906277,0.0026598818336,0.00367844949282,0.00406497237168,0.228087437235,0.00299190475145,0.0036178380568
neighborhood[UNION CITY]:sqft,-1.04511614373,-0.869075384159,-0.00769240673075,-0.114987050497,0.00381382436782,0.00221576608041,0.00222908887713,0.00303765145252,0.00223164295444,0.00138820890316,0.00225792192362,0.00290726907679,0.00253457277938,0.00274911476803,0.00285054096689,0.00292180125845,0.00298233108272,0.00356822559914,0.00249982239888,0.00377698818137,0.00269627150372,0.00224756862275,0.00312446220436,0.00324707778069,0.00299190475145,0.0104315884595,0.00226987731948
neighborhood[WALNUT CREEK]:sqft,-0.0903307852757,-0.85704400529,-0.0564621108656,-2.39784564787,-0.0176671601289,-0.00843336678489,0.00209822204373,0.00358978976114,0.00212908540993,0.00182024236594,0.00241219307902,0.00269785535772,0.00280467002976,0.00208261601048,0.00247815726826,0.00320283789918,0.00205028738569,0.00248896703377,0.0027089781405,0.00529107892431,0.00249832262339,0.00226669224362,0.00205582544172,0.00750204560225,0.0036178380568,0.00226987731948,0.377214399833
