,bedrooms,bathrooms,level,garage,age,elevation,neighborhood[ALAMEDA]:sqft,neighborhood[ALBANY]:sqft,neighborhood[BAY AND OCEAN]:sqft,neighborhood[BERKELEY]:sqft,neighborhood[CASTRO VALLEY]:sqft,neighborhood[DUBLIN]:sqft,neighborhood[EMERYVILLE]:sqft,neighborhood[FREMONT]:sqft,neighborhood[HAYWARD]:sqft,neighborhood[LIVERMORE]:sqft,neighborhood[MILPITAS]:sqft,neighborhood[NEWARK]:sqft,neighborhood[OAKLAND]:sqft,neighborhood[PACIFICA]:sqft,neighborhood[PLEASANTON]:sqft,neighborhood[SAN LEANDRO]:sqft,neighborhood[SAN LORENZO]:sqft,neighborhood[SOUTH SAN FRANCISCO]:sqft,neighborhood[UNION CITY]:sqft,neighborhood[WALNUT CREEK]:sqft
bedrooms,1226.19256,-550.16754445,16.3071086362,127.839825153,-4.51947747211,0.445878951314,-1.04270727929,-1.40234445459,-1.02989266896,-1.37107133623,-1.54393188797,-1.62143616998,-1.08780223232,-1.64440712651,-1.43906735888,-1.6389135785,-0.993196906502,-1.56776580905,-1.31454956875,-1.17904775887,-1.4047862531,-1.70308025447,-2.00632716575,-1.60456347753,-1.79989189139,-0.681484930698
bathrooms,-550.16754445,2029.57348372,-29.792028634,-302.715659877,-0.678164811888,-1.70473571627,-1.09789928789,-1.26113603951,-1.12472017149,-1.05529007613,-1.40772220051,-1.71742661538,-1.62206153551,-1.3495565697,-1.32196163809,-1.39405665809,-2.34068083273,-1.73813929796,-1.33103035582,-2.8965504077,-1.44402210442,-1.25322872789,-0.989756604578,-0.939973886922,-1.42463399646,-1.67195883024
level,16.3071086362,-29.792028634,49.0447944973,-3.58870118962,-0.528184479305,0.0239030615401,-0.00717513263017,-0.0167494647353,-0.00685360689684,-0.00929962325541,-0.0136004230423,-0.0189314097282,-0.0932316712027,-0.0148101943015,-0.0140778150532,-0.0125725874204,0.00797761073572,-0.0126679754931,-0.020417517922,0.00139141735943,-0.0116263865825,-0.0149539789304,-0.0186591896925,-1.9986466391,-0.0163398560584,-0.0906756769803
garage,127.839825153,-302.715659877,-3.58870118962,5523.83510237,5.42646985087,-0.708338895558,-0.357056496912,-0.25641094365,-0.340270432299,-0.110893412468,-0.73821347358,-1.06294270808,-0.197426179623,-0.419761554602,-0.427791623748,-0.785910940513,0.158117163712,-0.773457007805,-0.426207831569,0.119219725454,-0.518796289381,-0.482914059388,-0.130660855341,0.251724984948,-0.2910005482,-0.0343230049089
age,-4.51947747211,-0.678164811888,-0.528184479305,5.42646985087,0.557765593231,-0.00533655407916,-0.0154735687902,-0.0302888554586,-0.0152068184778,-0.0200202074808,-0.00586854402944,0.000653238751867,-0.0131899724544,-0.00467643171463,-0.00743882038607,-0.00303073124262,-0.00478626474755,-0.0101813880308,-0.0161264078125,-0.0142058407383,-0.0019313526965,-0.0143032705896,-0.00844944748543,0.00508775282757,-0.00454273062831,-0.0237761953974
elevation,0.445878951314,-1.70473571627,0.0239030615401,-0.708338895558,-0.00533655407916,0.221105531724,0.000463305033359,-0.00338249232382,0.000490011177928,-0.0191754934328,-0.0166978773414,-0.0159179882773,-0.000211596431847,-0.00171795978861,-0.0054267004396,-0.0219009061349,0.000456238206211,0.000436179887442,-0.00745003648019,-0.000150067991611,-0.01323892576,-0.00212503962543,-0.00104530087026,-0.0210896881634,-0.000435450745269,-0.0121150957043
neighborhood[ALAMEDA]:sqft,-1.04270727929,-1.09789928789,-0.00717513263017,-0.357056496912,-0.0154735687902,0.000463305033359,0.00787368527193,0.00445730883316,0.00317051642722,0.0038420535899,0.00387216392246,0.00402928916883,0.00370308498209,0.00384429267718,0.00365238368827,0.00389775829122,0.00382726722948,0.00433877024727,0.00384922728443,0.00501375415363,0.00352676708454,0.00423045482954,0.00415208578901,0.00441860950413,0.00412147835529,0.00363845744881
neighborhood[ALBANY]:sqft,-1.40234445459,-1.26113603951,-0.0167494647353,-0.25641094365,-0.0302888554586,-0.00338249232382,0.00445730883316,0.0844728662313,0.00444452471772,0.00581087339401,0.00548917814988,0.00552633129885,0.00512840653967,0.00519315423671,0.00504683567424,0.00556433262397,0.0050635966863,0.00586334474947,0.00550247086989,0.00679840173992,0.00489859083652,0.00589982019127,0.00572162152972,0.00673516190936,0.00554690395495,0.00543783192163
neighborhood[BAY AND OCEAN]:sqft,-1.02989266896,-1.12472017149,-0.00685360689684,-0.340270432299,-0.0152068184778,0.000490011177928,0.00317051642722,0.00444452471772,0.00768034536996,0.00383216352687,0.00387098162933,0.00403362555404,0.00370517270842,0.0038435457782,0.00365126086537,0.00389689028741,0.0038430273144,0.00433940206085,0.0038445743075,0.00502920132179,0.00352953634106,0.00422320621727,0.00414345483919,0.00441274227382,0.00412075172171,0.0036384456496
neighborhood[BERKELEY]:sqft,-1.37107133623,-1.05529007613,-0.00929962325541,-0.110893412468,-0.0200202074808,-0.0191754934328,0.0038420535899,0.00581087339401,0.00383216352687,0.0156462715259,0.0061583496839,0.0062227438048,0.00451180292386,0.00481751342696,0.00491519689363,0.00664250748184,0.00454944966869,0.00520307166807,0.00536050590873,0.00605534655178,0.00542041765882,0.00536462832159,0.00519999635524,0.00716513699262,0.00505016190446,0.00551622295932
neighborhood[CASTRO VALLEY]:sqft,-1.54393188797,-1.40772220051,-0.0136004230423,-0.73821347358,-0.00586854402944,-0.0166978773414,0.00387216392246,0.00548917814988,0.00387098162933,0.0061583496839,0.0156213992775,0.00681315103801,0.00468041590383,0.00524397037808,0.00520218548017,0.00697233975758,0.00503768691654,0.00563429928993,0.0053892807944,0.00644382178671,0.00580573389997,0.00553655253675,0.00546484830827,0.00728498916621,0.0055103256105,0.00522822912024
neighborhood[DUBLIN]:sqft,-1.62143616998,-1.71742661538,-0.0189314097282,-1.06294270808,0.000653238751867,-0.0159179882773,0.00402928916883,0.00552633129885,0.00403362555404,0.0062227438048,0.00681315103801,0.0152356558815,0.00495754257578,0.00562911190211,0.00552291253102,0.00736532450122,0.00550133558198,0.00605377284882,0.00559634706894,0.00692327723461,0.00619730359096,0.00580373073404,0.00575444336146,0.00775022179663,0.00591898139175,0.0053143475701
neighborhood[EMERYVILLE]:sqft,-1.08780223232,-1.62206153551,-0.0932316712027,-0.197426179623,-0.0131899724544,-0.000211596431847,0.00370308498209,0.00512840653967,0.00370517270842,0.00451180292386,0.00468041590383,0.00495754257578,0.0107684924439,0.00458043944069,0.00436289631826,0.00474142739551,0.00474160253821,0.00516983685321,0.00456137200742,0.00615233328504,0.00430834621994,0.00494117807692,0.00483193503003,0.00888242255151,0.00490510384769,0.00452143449746
neighborhood[FREMONT]:sqft,-1.64440712651,-1.3495565697,-0.0148101943015,-0.419761554602,-0.00467643171463,-0.00171795978861,0.00384429267718,0.00519315423671,0.0038435457782,0.00481751342696,0.00524397037808,0.00562911190211,0.00458043944069,0.00660007950764,0.00478892816408,0.00541726453078,0.00496321009972,0.00557225368047,0.00481265293444,0.00627953405818,0.00484588266128,0.00535998610803,0.00543988017038,0.00583277121325,0.00547323294278,0.00427018014168
neighborhood[HAYWARD]:sqft,-1.43906735888,-1.32196163809,-0.0140778150532,-0.427791623748,-0.00743882038607,-0.0054267004396,0.00365238368827,0.00504683567424,0.00365126086537,0.00491519689363,0.00520218548017,0.00552291253102,0.00436289631826,0.00478892816408,0.00772908080283,0.00543638581126,0.00468230192165,0.00523729139913,0.00469700894429,0.00598352560999,0.00475468578903,0.00508067536185,0.00507785626765,0.00592996296427,0.00510429755905,0.00436288432988
neighborhood[LIVERMORE]:sqft,-1.6389135785,-1.39405665809,-0.0125725874204,-0.785910940513,-0.00303073124262,-0.0219009061349,0.00389775829122,0.00556433262397,0.00389689028741,0.00664250748184,0.00697233975758,0.00736532450122,0.00474142739551,0.00541726453078,0.00543638581126,0.0107348797593,0.00513941174662,0.00574457545456,0.00562342075984,0.00654628367726,0.00625232310916,0.00567771741975,0.00561282620564,0.00776827358176,0.0056641924595,0.00549458907279
neighborhood[MILPITAS]:sqft,-0.993196906502,-2.34068083273,0.00797761073572,0.158117163712,-0.00478626474755,0.000456238206211,0.00382726722948,0.0050635966863,0.0038430273144,0.00454944966869,0.00503768691654,0.00550133558198,0.00474160253821,0.00496321009972,0.00468230192165,0.00513941174662,0.0930069184981,0.00558190489539,0.00472515491503,0.00691763437766,0.00474904577976,0.00513857366454,0.00505483883549,0.0052167815359,0.00532286703315,0.00451248239765
neighborhood[NEWARK]:sqft,-1.56776580905,-1.73813929796,-0.0126679754931,-0.773457007805,-0.0101813880308,0.000436179887442,0.00433877024727,0.00586334474947,0.00433940206085,0.00520307166807,0.00563429928993,0.00605377284882,0.00516983685321,0.00557225368047,0.00523729139913,0.00574457545456,0.00558190489539,0.023961999377,0.00532830068847,0.00712684123359,0.00520739023059,0.00590997844204,0.00587970922945,0.00628329114891,0.00596917705124,0.00484764680568
neighborhood[OAKLAND]:sqft,-1.31454956875,-1.33103035582,-0.020417517922,-0.426207831569,-0.0161264078125,-0.00745003648019,0.00384922728443,0.00550247086989,0.0038445743075,0.00536050590873,0.0053892807944,0.00559634706894,0.00456137200742,0.00481265293444,0.00469700894429,0.00562342075984,0.00472515491503,0.00532830068847,0.00630339876404,0.0061776495461,0.00485556549701,0.00525542448842,0.00513970997285,0.00661485266528,0.00510910444837,0.00486271971516
neighborhood[PACIFICA]:sqft,-1.17904775887,-2.8965504077,0.00139141735943,0.119219725454,-0.0142058407383,-0.000150067991611,0.00501375415363,0.00679840173992,0.00502920132179,0.00605534655178,0.00644382178671,0.00692327723461,0.00615233328504,0.00627953405818,0.00598352560999,0.00654628367726,0.00691763437766,0.00712684123359,0.0061776495461,0.315926977485,0.00601085095877,0.00664544541728,0.00644983025248,0.00718404715585,0.00672255015988,0.00606793505852
neighborhood[PLEASANTON]:sqft,-1.4047862531,-1.44402210442,-0.0116263865825,-0.518796289381,-0.0019313526965,-0.01323892576,0.00352676708454,0.00489859083652,0.00352953634106,0.00542041765882,0.00580573389997,0.00619730359096,0.00430834621994,0.00484588266128,0.00475468578903,0.00625232310916,0.00474904577976,0.00520739023059,0.00485556549701,0.00601085095877,0.0081992483146,0.00504542835965,0.00501612923025,0.00650475739987,0.00511040554087,0.00464403084427
neighborhood[SAN LEANDRO]:sqft,-1.70308025447,-1.25322872789,-0.0149539789304,-0.482914059388,-0.0143032705896,-0.00212503962543,0.00423045482954,0.00589982019127,0.00422320621727,0.00536462832159,0.00553655253675,0.00580373073404,0.00494117807692,0.00535998610803,0.00508067536185,0.00567771741975,0.00513857366454,0.00590997844204,0.00525542448842,0.00664544541728,0.00504542835965,0.0134379184894,0.00581044587662,0.00626499130327,0.00574230330217,0.00480491235286
neighborhood[SAN LORENZO]:sqft,-2.00632716575,-0.989756604578,-0.0186591896925,-0.130660855341,-0.00844944748543,-0.00104530087026,0.00415208578901,0.00572162152972,0.00414345483919,0.00519999635524,0.00546484830827,0.00575444336146,0.00483193503003,0.00543988017038,0.00507785626765,0.00561282620564,0.00505483883549,0.00587970922945,0.00513970997285,0.00644983025248,0.00501612923025,0.00581044587662,0.0838201936015,0.00610311595752,0.00586043843347,0.00445945461327
neighborhood[SOUTH SAN FRANCISCO]:sqft,-1.60456347753,-0.939973886922,-1.9986466391,0.251724984948,0.00508775282757,-0.0210896881634,0.00441860950413,0.00673516190936,0.00441274227382,0.00716513699262,0.00728498916621,0.00775022179663,0.00888242255151,0.00583277121325,0.00592996296427,0.00776827358176,0.0052167815359,0.00628329114891,0.00661485266528,0.00718404715585,0.00650475739987,0.00626499130327,0.00610311595752,0.252345105589,0.00613214422268,0.00989599992706
neighborhood[UNION CITY]:sqft,-1.79989189139,-1.42463399646,-0.0163398560584,-0.2910005482,-0.00454273062831,-0.000435450745269,0.00412147835529,0.00554690395495,0.00412075172171,0.00505016190446,0.0055103256105,0.00591898139175,0.00490510384769,0.00547323294278,0.00510429755905,0.0056641924595,0.00532286703315,0.00596917705124,0.00510910444837,0.00672255015988,0.00511040554087,0.00574230330217,0.00586043843347,0.00613214422268,0.0134923666918,0.00448210922054
neighborhood[WALNUT CREEK]:sqft,-0.681484930698,-1.67195883024,-0.0906756769803,-0.0343230049089,-0.0237761953974,-0.0121150957043,0.00363845744881,0.00543783192163,0.0036384456496,0.00551622295932,0.00522822912024,0.0053143475701,0.00452143449746,0.00427018014168,0.00436288432988,0.00549458907279,0.00451248239765,0.00484764680568,0.00486271971516,0.00606793505852,0.00464403084427,0.00480491235286,0.00445945461327,0.00989599992706,0.00448210922054,0.263252348539
